date,currency_name,value,unit,note
28-03-2025,US Dollar,85.5814,value in indian rupees per unit of foreign currency,
28-03-2025,Pound Sterling,110.7389,value in indian rupees per unit of foreign currency,
28-03-2025,Japanese Yen,56.75,value in indian rupees per unit of foreign currency,
28-03-2025,Euro,92.3246,value in indian rupees per unit of foreign currency,
27-03-2025,US Dollar,85.761,value in indian rupees per unit of foreign currency,
27-03-2025,Pound Sterling,110.8592,value in indian rupees per unit of foreign currency,
27-03-2025,Japanese Yen,57.01,value in indian rupees per unit of foreign currency,
27-03-2025,Euro,92.4452,value in indian rupees per unit of foreign currency,
26-03-2025,US Dollar,85.8683,value in indian rupees per unit of foreign currency,
26-03-2025,Pound Sterling,111.0706,value in indian rupees per unit of foreign currency,
26-03-2025,Japanese Yen,57.04,value in indian rupees per unit of foreign currency,
26-03-2025,Euro,92.6118,value in indian rupees per unit of foreign currency,
25-03-2025,US Dollar,85.7302,value in indian rupees per unit of foreign currency,
25-03-2025,Pound Sterling,110.7526,value in indian rupees per unit of foreign currency,
25-03-2025,Japanese Yen,56.95,value in indian rupees per unit of foreign currency,
25-03-2025,Euro,92.5875,value in indian rupees per unit of foreign currency,
24-03-2025,US Dollar,85.8318,value in indian rupees per unit of foreign currency,
24-03-2025,Pound Sterling,111.0166,value in indian rupees per unit of foreign currency,
24-03-2025,Japanese Yen,57.35,value in indian rupees per unit of foreign currency,
24-03-2025,Euro,93.0171,value in indian rupees per unit of foreign currency,
21-03-2025,US Dollar,86.22,value in indian rupees per unit of foreign currency,
21-03-2025,Pound Sterling,111.46,value in indian rupees per unit of foreign currency,
21-03-2025,Japanese Yen,57.66,value in indian rupees per unit of foreign currency,
21-03-2025,Euro,93.35,value in indian rupees per unit of foreign currency,
20-03-2025,US Dollar,86.3,value in indian rupees per unit of foreign currency,
20-03-2025,Pound Sterling,112.13,value in indian rupees per unit of foreign currency,
20-03-2025,Japanese Yen,58.22,value in indian rupees per unit of foreign currency,
20-03-2025,Euro,94.02,value in indian rupees per unit of foreign currency,
19-03-2025,US Dollar,86.5,value in indian rupees per unit of foreign currency,
19-03-2025,Pound Sterling,112.28,value in indian rupees per unit of foreign currency,
19-03-2025,Japanese Yen,57.72,value in indian rupees per unit of foreign currency,
19-03-2025,Euro,94.49,value in indian rupees per unit of foreign currency,
18-03-2025,US Dollar,86.67,value in indian rupees per unit of foreign currency,
18-03-2025,Pound Sterling,112.45,value in indian rupees per unit of foreign currency,
18-03-2025,Japanese Yen,57.87,value in indian rupees per unit of foreign currency,
18-03-2025,Euro,94.55,value in indian rupees per unit of foreign currency,
17-03-2025,US Dollar,86.79,value in indian rupees per unit of foreign currency,
17-03-2025,Pound Sterling,112.24,value in indian rupees per unit of foreign currency,
17-03-2025,Japanese Yen,58.29,value in indian rupees per unit of foreign currency,
17-03-2025,Euro,94.42,value in indian rupees per unit of foreign currency,
13-03-2025,US Dollar,87.08,value in indian rupees per unit of foreign currency,
13-03-2025,Pound Sterling,112.81,value in indian rupees per unit of foreign currency,
13-03-2025,Japanese Yen,58.98,value in indian rupees per unit of foreign currency,
13-03-2025,Euro,94.75,value in indian rupees per unit of foreign currency,
12-03-2025,US Dollar,87.26,value in indian rupees per unit of foreign currency,
12-03-2025,Pound Sterling,112.81,value in indian rupees per unit of foreign currency,
12-03-2025,Japanese Yen,58.92,value in indian rupees per unit of foreign currency,
12-03-2025,Euro,95.14,value in indian rupees per unit of foreign currency,
11-03-2025,US Dollar,87.33,value in indian rupees per unit of foreign currency,
11-03-2025,Pound Sterling,112.63,value in indian rupees per unit of foreign currency,
11-03-2025,Japanese Yen,59.3,value in indian rupees per unit of foreign currency,
11-03-2025,Euro,94.9,value in indian rupees per unit of foreign currency,
10-03-2025,US Dollar,87.24,value in indian rupees per unit of foreign currency,
